index,property_id,Lat,Lon,Price,2008_Tax,2009_Tax,2010_Tax,2011_Tax,2012_Tax,2013_Tax,2014_Tax,2015_Tax,2016_Tax,2017_Tax,2018_Tax,2019_Tax,TaxRatio
0,M3023564126,41.044329,-81.550083,95000,1346.0,1348.0,1380.0,1349.0,1524.0,1629.0,1594.0,1603.0,1604.0,1424.0,1380.0,1441.0,0.01516842105263158
1,M4422974800,41.036235,-81.54437800000002,69900,1277.0,1279.0,1295.0,1211.0,1354.0,1366.0,1388.0,1399.0,1400.0,1285.0,1287.0,1303.0,0.018640915593705294
2,M3569062993,41.023026,-81.457698,189900,3684.0,3854.0,3862.0,3843.0,4271.0,4293.0,3977.0,4010.0,4013.0,3942.0,3946.0,4000.0,0.021063717746182202
3,M3023471587,40.9982,-81.39909899999998,590000,795.0,813.0,884.0,730.0,3344.0,6381.0,6593.0,6674.0,6737.0,7230.0,7234.0,7527.0,0.012757627118644067
4,M3718594955,40.998192,-81.399788,90000,,,,216.0,641.0,642.0,639.0,647.0,653.0,621.0,621.0,646.0,0.007177777777777778
5,M4490947878,41.045792,-81.555585,45000,570.0,572.0,580.0,580.0,655.0,667.0,1294.0,1270.0,1271.0,1087.0,1088.0,1102.0,0.02448888888888889
6,M3077625637,41.051422,-81.427909,77900,846.0,850.0,1447.0,1462.0,1643.0,1683.0,1554.0,1531.0,1615.0,1642.0,1544.0,1661.0,0.021322207958921695
7,M3997681343,40.991851,-81.529563,662000,9002.0,7788.0,8621.0,8384.0,8401.0,9086.0,9203.0,9465.0,9441.0,10749.0,10806.0,10911.0,0.016481873111782477
8,M4004392545,41.015016,-81.547552,149900,1986.0,1994.0,2207.0,2159.0,2163.0,2340.0,191.0,2489.0,2626.0,2659.0,2609.0,2634.0,0.017571714476317547
9,M3923509305,41.139753000000006,-81.539077,64900,1533.0,1537.0,1537.0,1381.0,1565.0,1563.0,1563.0,1658.0,1607.0,1177.0,1320.0,1297.0,0.019984591679506933
10,M4152014132,41.078658,-81.435443,79900,1424.0,1426.0,1436.0,1428.0,1597.0,1612.0,1605.0,1617.0,1618.0,1591.0,1592.0,1613.0,0.02018773466833542
13,M3456110135,41.139449,-81.542296,70000,1238.0,1241.0,1241.0,1075.0,1184.0,1182.0,1180.0,1254.0,1248.0,918.0,1030.0,1012.0,0.014457142857142858
14,M4712356429,41.007133,-81.520811,195000,3557.0,3574.0,3951.0,3925.0,3932.0,1146.0,2510.0,2578.0,2572.0,2748.0,2762.0,2788.0,0.014297435897435897
16,M3364957426,41.03299000000001,-81.542467,131900,2411.0,1542.0,1560.0,1569.0,2050.0,3154.0,3056.0,3071.0,3073.0,2872.0,2874.0,2897.0,0.02196360879454132
17,M3668339464,41.082017,-81.549898,34000,2495.0,3362.0,1559.0,1318.0,1416.0,966.0,895.0,901.0,902.0,1286.0,1299.0,1079.0,0.031735294117647056
18,M4083072138,41.044597,-81.57149100000002,52500,1173.0,1175.0,1193.0,1134.0,1274.0,1307.0,1277.0,1286.0,1286.0,1019.0,1020.0,1031.0,0.01963809523809524
19,M4908326434,41.044725,-81.44619200000002,129900,1920.0,1923.0,1935.0,1955.0,2185.0,2203.0,2323.0,2342.0,2344.0,2303.0,2306.0,2337.0,0.017990762124711318
20,M9631682198,41.158049,-81.52271,389900,6196.0,6201.0,6211.0,6118.0,6751.0,6772.0,6456.0,6845.0,6816.0,7717.0,8628.0,8479.0,0.02174660169274173
22,M3829812793,41.080565,-81.471848,69500,1642.0,2473.0,1195.0,1144.0,867.0,1427.0,1434.0,783.0,827.0,814.0,815.0,824.0,0.01185611510791367
23,M3087053920,41.118472,-81.575384,135000,3620.0,3627.0,3691.0,3557.0,4044.0,4062.0,3654.0,3682.0,3685.0,3741.0,3588.0,3637.0,0.02694074074074074
24,M4238433853,41.025086,-81.453868,199000,2564.0,2571.0,2584.0,2550.0,2840.0,2857.0,2840.0,3013.0,3016.0,2964.0,2967.0,3007.0,0.015110552763819096
25,M3708905810,41.084727,-81.448164,264900,,,62.0,3557.0,3965.0,3971.0,3979.0,4013.0,4016.0,3943.0,3947.0,4003.0,0.015111362778406946
26,M3327356090,41.113487,-81.500905,89900,1422.0,1425.0,1434.0,1316.0,1471.0,1485.0,1673.0,1687.0,1688.0,1564.0,1566.0,1586.0,0.01764182424916574
27,M3942691333,41.113673,-81.562495,182900,3230.0,3236.0,3251.0,3282.0,3762.0,4049.0,4007.0,3855.0,3858.0,3744.0,3648.0,3697.0,0.020213231273920176
28,M3171957110,41.031492,-81.5709,17900,1131.0,1133.0,1141.0,898.0,1004.0,1016.0,871.0,878.0,879.0,844.0,845.0,855.0,0.04776536312849162
29,M3509202517,41.139476,-81.54267800000002,64900,1138.0,1141.0,1142.0,1022.0,1126.0,1124.0,1502.0,504.0,1028.0,760.0,850.0,835.0,0.012865947611710324
30,M4957640649,41.079661,-81.462897,84900,1478.0,1481.0,703.0,1454.0,1625.0,1597.0,1804.0,1867.0,1869.0,1999.0,1838.0,1862.0,0.02193168433451119
31,M4711674056,41.06715,-81.516176,71500,1005.0,1007.0,1014.0,1023.0,659.0,705.0,510.0,513.0,514.0,640.0,640.0,647.0,0.00904895104895105
32,M3030856879,41.123112,-81.561862,138900,2141.0,2145.0,2155.0,1990.0,2214.0,2230.0,2115.0,2132.0,2133.0,2315.0,2317.0,2348.0,0.016904247660187183
35,M4667620818,40.955745,-81.524765,635000,3773.0,3778.0,3794.0,4189.0,4184.0,4149.0,4279.0,4290.0,4256.0,4184.0,4233.0,4119.0,0.0064866141732283465
36,M3981470658,40.998567,-81.52589300000002,300000,,3601.0,4916.0,3245.0,3238.0,3070.0,3411.0,3457.0,3554.0,3546.0,4035.0,4056.0,0.01352
37,M4163268446,41.090691,-81.578891,65000,1595.0,1691.0,1751.0,1590.0,1761.0,1778.0,1654.0,1666.0,1668.0,1339.0,1341.0,1358.0,0.020892307692307693
38,M4152983046,41.092314,-81.583104,65000,1445.0,1448.0,1509.0,1359.0,1515.0,1534.0,1555.0,1567.0,1568.0,1251.0,1252.0,1354.0,0.02083076923076923
39,M4698519178,41.091659,-81.580736,62000,1091.0,1093.0,1164.0,1071.0,1201.0,1239.0,1478.0,1487.0,1488.0,1094.0,709.0,1540.0,0.024838709677419354
40,M3600983640,41.121329,-81.645787,639000,9575.0,9601.0,10944.0,9721.0,9697.0,9694.0,9058.0,9093.0,9091.0,9415.0,9423.0,9618.0,0.015051643192488263
41,M3167932602,41.106042,-81.543386,529900,10529.0,10845.0,4935.0,6933.0,7827.0,7866.0,7651.0,7714.0,7720.0,8041.0,8049.0,8257.0,0.015582185317984526
